County,Fips,Geometry,Latitude,Longitude,Number of Records,Population,State,Tract
003,42003473500,POINT,40.365237,-80.05499,1,3680,42,473500
003,42003473601,POINT,40.38359,-80.060256,1,4049,42,473601
003,42003473602,POINT,40.370965,-80.069997,1,4600,42,473602
003,42003474101,POINT,40.354861,-80.071166,1,3601,42,474101
003,42003474102,POINT,40.33994,-80.067206,1,3685,42,474102
003,42003474201,POINT,40.344467,-80.094721,1,2600,42,474201
003,42003474202,POINT,40.325611,-80.093305,1,4809,42,474202
003,42003474203,POINT,40.314031,-80.078876,1,4534,42,474203
003,42003475101,POINT,40.347606,-80.040505,1,4702,42,475101
003,42003475102,POINT,40.337331,-80.035026,1,1665,42,475102
003,42003475200,POINT,40.323963,-80.054933,1,4919,42,475200
003,42003475301,POINT,40.324013,-80.032774,1,4425,42,475301
003,42003475303,POINT,40.308472,-80.046418,1,4064,42,475303
003,42003475304,POINT,40.300212,-80.049462,1,5688,42,475304
003,42003475401,POINT,40.342388,-80.014875,1,3790,42,475401
003,42003475402,POINT,40.309921,-80.025189,1,3060,42,475402
003,42003476100,POINT,40.366735,-80.025264,1,5034,42,476100
003,42003476200,POINT,40.364827,-80.014349,1,3282,42,476200
003,42003477100,POINT,40.357836,-80.005076,1,3651,42,477100
003,42003477200,POINT,40.365252,-79.993528,1,4140,42,477200
003,42003477300,POINT,40.35998,-79.972977,1,6153,42,477300
003,42003478100,POINT,40.374371,-79.980396,1,4015,42,478100
003,42003478200,POINT,40.375353,-79.973139,1,5628,42,478200
003,42003479000,POINT,40.38022,-80.016448,1,1992,42,479000
003,42003480101,POINT,40.341019,-79.982569,1,4837,42,480101
003,42003480102,POINT,40.344964,-79.999979,1,3107,42,480102
003,42003480200,POINT,40.355012,-79.963742,1,3428,42,480200
003,42003480300,POINT,40.393937,-79.969084,1,3415,42,480300
003,42003480400,POINT,40.381277,-79.954505,1,4980,42,480400
003,42003481000,POINT,40.411626,-79.986067,1,3403,42,481000
003,42003482500,POINT,40.395418,-79.913359,1,1929,42,482500
003,42003483800,POINT,40.403739,-79.907366,1,3165,42,483800
003,42003484300,POINT,40.404987,-79.897906,1,3404,42,484300
003,42003484500,POINT,40.382841,-79.904876,1,5745,42,484500
003,42003484600,POINT,40.393033,-79.901199,1,2257,42,484600
003,42003485000,POINT,40.399147,-79.888657,1,1271,42,485000
003,42003486700,POINT,40.377695,-79.856317,1,2360,42,486700
003,42003486800,POINT,40.369512,-79.851728,1,1827,42,486800
003,42003486900,POINT,40.364331,-79.850089,1,1378,42,486900
003,42003487000,POINT,40.351559,-79.890837,1,1792,42,487000
003,42003488100,POINT,40.386565,-79.886706,1,2311,42,488100
003,42003488200,POINT,40.392776,-79.877885,1,3591,42,488200
003,42003488300,POINT,40.37137,-79.893078,1,2173,42,488300
003,42003488400,POINT,40.363814,-79.866206,1,4453,42,488400
003,42003488500,POINT,40.358012,-79.926881,1,2843,42,488500
003,42003488600,POINT,40.341832,-79.922276,1,4942,42,488600
003,42003489001,POINT,40.331213,-79.95311,1,4542,42,489001
003,42003489002,POINT,40.330431,-79.965633,1,3726,42,489002
003,42003490002,POINT,40.294856,-80.015571,1,4802,42,490002
003,42003490003,POINT,40.319769,-79.989609,1,3519,42,490003
003,42003490004,POINT,40.28821,-79.982995,1,5095,42,490004
003,42003491101,POINT,40.301856,-79.954543,1,5892,42,491101
003,42003491200,POINT,40.31267,-79.919426,1,2042,42,491200
003,42003492700,POINT,40.307097,-79.892174,1,1882,42,492700
003,42003492800,POINT,40.291435,-79.883567,1,2769,42,492800
003,42003492900,POINT,40.288527,-79.893281,1,2145,42,492900
003,42003494000,POINT,40.270031,-79.887716,1,1493,42,494000
003,42003495000,POINT,40.228948,-79.893832,1,3376,42,495000
003,42003496101,POINT,40.272581,-79.82032,1,2957,42,496101
003,42003496102,POINT,40.258054,-79.849375,1,4502,42,496102
003,42003496200,POINT,40.302536,-79.812684,1,5812,42,496200
003,42003497000,POINT,40.298187,-79.854561,1,1072,42,497000
003,42003498000,POINT,40.324395,-79.855857,1,2551,42,498000
003,42003499300,POINT,40.331805,-79.886918,1,1574,42,499300
003,42003499400,POINT,40.323697,-79.889279,1,2909,42,499400
003,42003500300,POINT,40.338431,-79.873105,1,3798,42,500300
003,42003501000,POINT,40.318333,-79.830854,1,1515,42,501000
003,42003503002,POINT,40.34757,-79.816706,1,5989,42,503002
003,42003504100,POINT,40.381527,-79.825045,1,5243,42,504100
003,42003507000,POINT,40.383851,-79.808231,1,2126,42,507000
003,42003508000,POINT,40.394044,-79.808904,1,2190,42,508000
003,42003509400,POINT,40.409532,-79.819925,1,5349,42,509400
003,42003510000,POINT,40.397298,-79.840321,1,1822,42,510000
003,42003512000,POINT,40.404751,-79.844853,1,2317,42,512000
003,42003512800,POINT,40.403335,-79.859764,1,1380,42,512800
003,42003512900,POINT,40.409855,-79.865197,1,1160,42,512900
003,42003513800,POINT,40.404909,-79.868498,1,2159,42,513800
003,42003514000,POINT,40.412168,-79.878663,1,2122,42,514000
003,42003515100,POINT,40.418939,-79.879798,1,2722,42,515100
003,42003515200,POINT,40.424763,-79.879976,1,2124,42,515200
003,42003515300,POINT,40.420037,-79.891012,1,1871,42,515300
003,42003515401,POINT,40.42575,-79.894165,1,2266,42,515401
003,42003516100,POINT,40.43264,-79.889134,1,1392,42,516100
003,42003516200,POINT,40.431538,-79.880917,1,1726,42,516200
003,42003517000,POINT,40.417038,-79.86208,1,1880,42,517000
003,42003518001,POINT,40.4285,-79.859936,1,3391,42,518001
003,42003519000,POINT,40.438386,-79.844746,1,3011,42,519000
003,42003520001,POINT,40.431507,-79.815433,1,3229,42,520001
003,42003520002,POINT,40.420542,-79.835312,1,3128,42,520002
003,42003521100,POINT,40.45131,-79.77752,1,4603,42,521100
003,42003521200,POINT,40.428569,-79.793207,1,4090,42,521200
003,42003521301,POINT,40.421961,-79.760285,1,4226,42,521301
003,42003521302,POINT,40.424135,-79.781238,1,4378,42,521302
003,42003521401,POINT,40.425546,-79.730595,1,2858,42,521401
003,42003521402,POINT,40.405794,-79.747909,1,3897,42,521402
003,42003521500,POINT,40.443646,-79.736901,1,4341,42,521500
003,42003522000,POINT,40.40507,-79.777201,1,3294,42,522000
003,42003523100,POINT,40.469288,-79.871646,1,4194,42,523100
003,42003523200,POINT,40.460983,-79.854531,1,3922,42,523200
003,42003523300,POINT,40.471987,-79.834409,1,4194,42,523300
003,42003523400,POINT,40.456203,-79.835119,1,4967,42,523400
003,42003523501,POINT,40.470321,-79.810277,1,4658,42,523501
003,42003523502,POINT,40.470001,-79.789925,1,1539,42,523502
003,42003523600,POINT,40.453746,-79.812401,1,4845,42,523600
003,42003523701,POINT,40.502958,-79.819669,1,4179,42,523701
003,42003523702,POINT,40.488827,-79.796315,1,5180,42,523702
003,42003523800,POINT,40.488418,-79.836334,1,4651,42,523800
003,42003524000,POINT,40.50543,-79.839928,1,2474,42,524000
003,42003525100,POINT,40.517492,-79.830839,1,2054,42,525100
003,42003525200,POINT,40.517733,-79.842534,1,2007,42,525200
003,42003525300,POINT,40.524216,-79.835046,1,2242,42,525300
003,42003526101,POINT,40.521787,-79.770577,1,6902,42,526101
003,42003526102,POINT,40.498337,-79.725222,1,2120,42,526102
003,42003526201,POINT,40.488098,-79.758751,1,3690,42,526201
003,42003526202,POINT,40.47337,-79.764679,1,5060,42,526202
003,42003526301,POINT,40.478428,-79.714854,1,4105,42,526301
003,42003526302,POINT,40.462533,-79.710834,1,5249,42,526302
003,42003550900,POINT,40.34828,-79.853319,1,2015,42,550900
003,42003551200,POINT,40.350411,-79.836249,1,3370,42,551200
003,42003551300,POINT,40.334141,-79.82995,1,2385,42,551300
003,42003551900,POINT,40.353369,-79.850121,1,1464,42,551900
003,42003552000,POINT,40.341843,-79.841012,1,2746,42,552000
003,42003552100,POINT,40.345386,-79.864539,1,1450,42,552100
003,42003552200,POINT,40.348574,-79.876992,1,1100,42,552200
003,42003552300,POINT,40.341874,-79.850241,1,2184,42,552300
003,42003552400,POINT,40.334389,-79.840451,1,3017,42,552400
003,42003560400,POINT,40.442762,-79.890634,1,1559,42,560400
003,42003560500,POINT,40.437888,-79.891341,1,2176,42,560500
003,42003560600,POINT,40.439863,-79.883332,1,1074,42,560600
003,42003561000,POINT,40.437493,-79.877848,1,1559,42,561000
003,42003561100,POINT,40.446317,-79.876302,1,850,42,561100
003,42003561200,POINT,40.446492,-79.882223,1,1333,42,561200
003,42003561400,POINT,40.449231,-79.862692,1,4239,42,561400
003,42003561500,POINT,40.440452,-79.869139,1,3140,42,561500
003,42003561600,POINT,40.415691,-79.971045,1,2113,42,561600
003,42003561700,POINT,40.411551,-79.977882,1,718,42,561700
003,42003561900,POINT,40.469602,-79.893673,1,2232,42,561900
003,42003562000,POINT,40.451336,-79.952328,1,3247,42,562000
003,42003562300,POINT,40.407727,-79.937713,1,3469,42,562300
003,42003562400,POINT,40.414794,-80.001877,1,2733,42,562400
003,42003562500,POINT,40.456885,-80.052869,1,3032,42,562500
003,42003562600,POINT,40.44334,-80.039056,1,2635,42,562600
003,42003562700,POINT,40.45188,-80.008947,1,1395,42,562700
003,42003562800,POINT,40.42357,-80.067855,1,1597,42,562800
003,42003562900,POINT,40.407161,-79.942269,1,1926,42,562900
